COD. INTERNO,DESCRIPCION,PRECIO USD,PRECIO ARS,unidad,,,,,,,,,,,,,,
DOLAR,IMPORTANTE!! MODIFICAR PRECIO DOLAR CON LOS VALORES DEL PRECIO ACTUAL DEL DOLAR,1,1500,,,,,,Alumine,,,,,,,preaislado,1137989162,
,,,,,,,,,"Rollo de laton para cortar pernos planos de 1,5 x 6,25 (40-60kg/bobina )",,,,,,,Soule S.A,Elec Gallardo,Elec Universo
PLASTICOS,,,,,,,,,,,,,*N° 92 - terminal pala hembra de 2.8mm,,,"61,4c/u",27c/u,
PP-,PP Virgen,,0,kg,,,,,"Cobre 0,6 x 18mm",,,,*N° 436 - terminal pala hembra de 6.3mm,,,140c/u,73c/u,
PP-DM01,PP recuperado Di Marzio BLANCO,"1,100",1650,kg,,,,,"Cobre 0,8 x 18mm",,,,*N° 437 - terminal pala hembra de 6.3mm estañado,,,,910k*10k,
PP-DM02,PP recuperado Di Marzio NEGRO,,0,kg,,,,,,,,,,,,,,
PP-DM03,PP recuperado Di Marzio CRISTAL,,0,kg,,,,,laton 40 a 60kg,,Zapatilla Ruben,2340,,,,,,
HORAS MAQUINA,,,,,,,,,,,,,,,,,,
HS-BL,Balancinado,"20,00",30000,hs,,,,,,,,,,,,,,
HS-INY120,Inyeccion 120tn,"16,67",25000,hs,,,,,,,,,,,,,,
HS-INY160,Inyeccion 160tn,"26,750",28000,hs,,,,,,,,,,,,,,
FLEJES CHAPA GALVANIZADA,,,,,,,,,,,,,,,,,,
FJ-CF6404CH,"CARFLEJ - 64 x 0,4mm Dureza Comercial","3,360",5040,kg,,"3,363",,,,,,,,,,,,
FJ-CF6403CH,"CARFLEJ - 64 x 0,3mm Dureza Comercial","3,725",5588,kg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FJ-EST6404CH,"ESTAMETAL - 64 x 0,4mm Dureza Comercial","1,920",2880,kg,,,,,,inyeccion + pp,145,,,,,,,
,,,,,,,,,,cobre,120,,,,,,,
FLEJES DE LATON Y COBRE,,,,,,,,,,armado,50,,,,,,,
FJ-AL6404LT,"ALUMINE - 64 X 0,3mm - SEMIDURO","19,000",28500,kg,,,,,,resorte,7,,,,,,,
,,,,,,,,,,total,322,,,,,,,
,,,,,,,,,,,,,,,,,,
CABLES,,,,,,,,,,,,,,,,,,
,CABLES PARA ZAP4 CON TECLA (ZP41x),,,,,,,,,,,,,,,,,
CB-CBF13A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 1,3mts","1,010",1515,un,,0,"1,01",,,,,,,,,,,
CB-CBF3A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 3mts","1,720",2580,un,,0,"1,72",,,,,,,,,,,
CB-CBF5A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 5mts","2,400",3600,un,,0,"2,4",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CABLES PARA ZAP4 SIN TECLA (ZP40x),,,,,,,,,,,,,,,,,
CB-CBF13B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 1,3mts","0,950",1425,un,,0,,,,,,,,,,,,
CB-CBF3B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 3mts","1,430",2145,un,,0,,,,,,,,,,,,
CB-CBF5B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 5mts","2,000",3000,un,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CABLE TIPO TALLER EN BOBINA P/CORTAR,,,,,,,,,,,,,,,,,
CB-RUB305CO,"CABLE DE RUBEN - 3 x 0,5 vaina red. blanca COBRE - Bobina 500mts (7 pelos)","0,250",375,/mt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CB-MUN305CO,"EL MUNDO DEL CABLE - 3 x 0,5 vaina red. blanca COBRE - Bobina 500mts (5 pelos c/cable)","0,243",365,/mt,,,,,,,,,,,,,,
