COD. INTERNO,DESCRIPCION,PRECIO USD,PRECIO ARS,,,,,,,,,,,,,,,
DOLAR,IMPORTANTE!! MODIFICAR PRECIO DOLAR CON LOS VALORES DEL PRECIO ACTUAL DEL DOLAR,1,1450,,,,,,Alumine,,,,,,,preaislado,1137989162,
,,,,,,,,,"Rollo de laton para cortar pernos planos de 1,5 x 6,25 (40-60kg/bobina )",,,,,,,Soule S.A,Elec Gallardo,Elec Universo
PLASTICOS,,,,,,,,,,,,,*N° 92 - terminal pala hembra de 2.8mm,,,"61,4c/u",27c/u,
PP-,PP Virgen,,0,kg,,,,,"Cobre 0,6 x 18mm",,,,*N° 436 - terminal pala hembra de 6.3mm,,,140c/u,73c/u,
PP-DM01,PP recuperado Di Marzio BLANCO,"1,138",1650,kg,,,,,"Cobre 0,8 x 18mm",,,,*N° 437 - terminal pala hembra de 6.3mm estañado,,,,910k*10k,
PP-DM02,PP recuperado Di Marzio NEGRO,,0,kg,,,,,,,,,,,,,,
PP-DM03,PP recuperado Di Marzio CRISTAL,,0,kg,,,,,laton 40 a 60kg,,Zapatilla Ruben,2340,,,,,,
HORAS MAQUINA,,,,,,,,,,,,,,,,,,
HS-BL,Balancinado,"20,00",29000,hs,,,,,,,,,,,,,,
HS-INY120,Inyeccion 120tn,"17,24",25000,hs,,,,,,,,,,,,,,
HS-INY160,Inyeccion 160tn,"26,750",28000,hs,,,,,,,,,,,,,,
FLEJES CHAPA GALVANIZADA,,,,,,,,,,,,,,,,,,
FJ-CF6404CH,"CARFLEJ - 64 x 0,4mm Dureza Comercial","3,360",4872,kg,,"3,363",,,,,,,,,,,,
FJ-CF6403CH,"CARFLEJ - 64 x 0,3mm Dureza Comercial","3,725",5401,kg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FJ-EST6404CH,"ESTAMETAL - 64 x 0,4mm Dureza Comercial","1,920",2784,kg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FLEJES DE LATON,,,,,,,,,,,,,,,,,,
FJ-AL6404LT,"ALUMINE - 64 X 0,3mm - SEMIDURO","19,000",27550,kg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CABLES,,,,,,,,,,,,,,,,,,
,CABLES PARA ZAP4 CON TECLA (ZP41x),,,,,,,,,,,,,,,,,
CB-CBF13A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 1,3mts","1,010","1464,5",un,,0,"1,01",,,,,,,,,,,
CB-CBF3A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 3mts","1,720",2494,un,,0,"1,72",,,,,,,,,,,
CB-CBF5A,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8-6,35 - 5mts","2,400",3480,un,,0,"2,4",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CABLES PARA ZAP4 SIN TECLA (ZP40x),,,,,,,,,,,,,,,,,
CB-CBF13B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 1,3mts","0,950","1377,5",un,,0,,,,,,,,,,,,
CB-CBF3B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 3mts","1,430","2073,5",un,,0,,,,,,,,,,,,
CB-CBF5B,"CABLES Y FICHAS - 3 x 0,5 vaina red. blan c/term PH 2,8 - 5mts","2,000",2900,un,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CABLE TIPO TALLER EN BOBINA P/CORTAR,,,,,,,,,,,,,,,,,
CB-RUB305CO,"CABLE DE RUBEN - 3 x 0,5 vaina red. blanca COBRE - Bobina 500mts","0,259",375,/mt,,,,,,,,,,,,,,
CB-MUN305CO,"EL MUNDO DEL CABLE - 3 x 0,5 vaina red. blanca COBRE - Bobina 500mts","0,252",365,/mt,,,,,,,,,,,,,,
CB-MUN305ALCO,"EL MUNDO DEL CABLE - 3 x 0,5 vaina red. blanca ALCO - Bobina 500mts","0,190",275,/mt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CABLE UNIPOLAR P/CHICOTES,,,,,,,,,,,,,,,,,
CB-MUN05CO,"EL MUNDO DEL CABLE - 1 x 0,5 (cel-marr-verd) COBRE - Rollo 100mts","0,107",155,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CHICOTES,,,,,,,,,Federico,,,,,,,,,
CH-CBF01M,"CABLES Y FICHAS - chicote 0,5 x 75mm - terminal PH 2,8-PH 6,35 MARRON","0,150","217,5",un,4000,870000,,,11 3000 0987,,,,,,,,,
CH-CBF01C,"CABLES Y FICHAS - chicote 0,5 x 65mm - terminal PH 2,8 - desv 9mm CELESTE","0,070","101,5",un,2000,203000,,,,,,,,,,,,
CH-CBF01V,"CABLES Y FICHAS - chicote 0,5 x 65mm - terminal PH 2,8 - desv 9mm VERDE","0,070","101,5",un,2000,203000,,,,,,,,,,,,
CH-CBF02M,"CABLES Y FICHAS - chicote 0,5 x 75mm - terminal PH 6,35 - desv 9mm MARRON","0,090","130,5",un,2000,261000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CH-TC01M,"TECNOCABLES - chicote 0,75 x 75mm - terminal PH2.8 - PH6,35 MARRON","0,112","162,4",un,,0,,,,,,,,,,,,
CH-TC01M2,"TECNOCABLES - chicote 0,5 x 75mm - terminal PH2.8 - PH6,35 MARRON","0,106","153,7",un,,0,,,,,,,,,,,,
CH-TC01C,"TECNOCABLES - chicote 0,75 x 65mm - terminal PH2,8 - desv 9mm CELESTE","0,089","129,05",un,,0,,,,,,,,,,,,
CH-TC01C2,"TECNOCABLES - chicote 0,5 x 65mm - terminal PH2,8 - desv 9mm CELESTE","0,079","114,55",un,,0,,,,,,,,,,,,
CH-TC01V,"TECNOCABLES - chicote 0,75 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,089","129,05",un,,0,,,,,,,,,,,,
CH-TC01V2,"TECNOCABLES - chicote 0,5 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,079","114,55",un,,0,,,,,,,,,,,,
CH-TC02M,"TECNOCABLES - chicote 0,75 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,087","126,15",un,,0,,,,,,,,,,,,
CH-TC02M2,"TECNOCABLES - chicote 0,5 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,081","117,45",un,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
INTERRUPTORES,,,,,,,,,,,,,,,,,,
